"PlantID","Genotype","Treatment","FW"
"1130KN090","Trumpf","stress",80
"1130KN091","Franken","control",136.5
"1130KN092","Franken","control",143.5
"1130KN093","Franken","control",101.4
"1130KN094","Franken","control",120.2
"1130KN095","Franken","control",122.6
"1130KN096","Franken","control",140.2
"1130KN097","Franken","control",103.7
"1130KN098","Franken","control",135.6
"1130KN099","Franken","control",106.9
"1130KN100","Franken","stress",67.1
"1130KN101","Franken","stress",71.7
"1130KN102","Franken","stress",36.7
"1130KN103","Franken","stress",70
"1130KN104","Franken","stress",78.6
"1130KN105","Franken","stress",71
"1130KN106","Franken","stress",80.5
"1130KN107","Franken","stress",78.7
"1130KN108","Franken","stress",70.5
"1130KN109","Intensiv","control",138.7
"1130KN110","Intensiv","control",142.4
"1130KN111","Intensiv","control",138.7
"1130KN112","Intensiv","control",135.4
"1130KN113","Intensiv","control",139.8
"1130KN114","Intensiv","control",135.4
"1130KN115","Intensiv","control",122.9
"1130KN116","Intensiv","control",143.3
"1130KN117","Intensiv","control",147.8
"1130KN118","Intensiv","stress",76.1
"1130KN119","Intensiv","stress",75.4
"1130KN120","Intensiv","stress",77.7
"1130KN121","Intensiv","stress",67.4
"1130KN122","Intensiv","stress",77.5
"1130KN123","Intensiv","stress",75.9
"1130KN124","Intensiv","stress",78.9
"1130KN125","Intensiv","stress",81.2
"1130KN126","Intensiv","stress",75.4
"1130KN127","Bavaria","control",135.7
"1130KN128","Bavaria","control",135.3
"1130KN129","Bavaria","control",131.8
"1130KN130","Bavaria","control",116.2
"1130KN131","Bavaria","control",138.2
"1130KN132","Bavaria","control",136.7
"1130KN133","Bavaria","control",97.2
"1130KN134","Bavaria","control",123.6
"1130KN135","Bavaria","control",116.8
"1130KN136","Bavaria","stress",61.6
"1130KN137","Bavaria","stress",64.3
"1130KN138","Bavaria","stress",63.7
"1130KN139","Bavaria","stress",63.8
"1130KN140","Bavaria","stress",65.8
"1130KN141","Bavaria","stress",62.9
"1130KN142","Bavaria","stress",64.3
"1130KN143","Bavaria","stress",63.4
"1130KN144","Bavaria","stress",64.8
"1130KN145","BarkeCS","control",161.3
"1130KN146","BarkeCS","control",152.4
"1130KN147","BarkeCS","control",145.1
"1130KN148","BarkeCS","control",150.2
"1130KN149","BarkeCS","control",142.8
"1130KN150","BarkeCS","control",150.7
"1130KN151","BarkeCS","control",142.4
"1130KN152","BarkeCS","control",148.8
"1130KN153","BarkeCS","control",147.4
"1130KN154","BarkeCS","stress",77.4
"1130KN155","BarkeCS","stress",82
"1130KN156","BarkeCS","stress",75.9
"1130KN157","BarkeCS","stress",79.7
"1130KN158","BarkeCS","stress",83.2
"1130KN159","BarkeCS","stress",81.4
"1130KN160","BarkeCS","stress",78.8
"1130KN161","BarkeCS","stress",79.2
"1130KN162","BarkeCS","stress",81.5
"1130KN163","Beatrix","control",149.2
"1130KN164","Beatrix","control",100.5
"1130KN165","Beatrix","control",132.1
"1130KN166","Beatrix","control",146
"1130KN167","Beatrix","control",145.7
"1130KN168","Beatrix","control",147.7
"1130KN169","Beatrix","control",143.7
"1130KN170","Beatrix","control",141.7
"1130KN171","Beatrix","control",152.3
"1130KN172","Beatrix","stress",74
"1130KN173","Beatrix","stress",78.2
"1130KN174","Beatrix","stress",80.4
"1130KN175","Beatrix","stress",84.1
"1130KN176","Beatrix","stress",82
"1130KN177","Beatrix","stress",79.3
"1130KN178","Beatrix","stress",81.5
"1130KN179","Beatrix","stress",78.3
"1130KN180","Beatrix","stress",77.3
"1130KN181","Djamilia","control",132.3
"1130KN182","Djamilia","control",128.6
"1130KN183","Djamilia","control",137.1
"1130KN184","Djamilia","control",96.6
"1130KN185","Djamilia","control",125.1
"1130KN186","Djamilia","control",118.1
"1130KN187","Djamilia","control",124.8
"1130KN188","Djamilia","control",123.5
"1130KN189","Djamilia","control",124.6
"1130KN190","Djamilia","stress",63.8
"1130KN191","Djamilia","stress",63.1
"1130KN192","Djamilia","stress",67.2
"1130KN193","Djamilia","stress",64
"1130KN194","Djamilia","stress",63.5
"1130KN195","Djamilia","stress",63.2
"1130KN196","Djamilia","stress",62.8
"1130KN197","Djamilia","stress",62.6
